Date,Open,High,Low,Close,Volume,Change_rate,RSI
2020-12-28 3:00,30111000,30218000,30000000,30167000,129.7413479,-0.168773579,58.43341123
2020-12-28 3:30,30166000,30380000,30134000,30379000,153.9097566,-0.003291639,62.5004168
2020-12-28 4:00,30380000,30391000,30031000,30031000,122.1570585,-1.184561219,53.28412373
2020-12-28 4:30,30031000,30190000,29944000,29944000,141.0306253,-0.814839351,51.24948386
2020-12-28 5:00,29945000,30227000,29917000,30188000,109.0948764,-0.129023721,56.29052841
2020-12-28 5:30,30189000,30190000,29970000,29990000,111.1080339,-0.662471017,51.62538826
2020-12-28 6:00,29991000,30100000,29913000,29980000,130.3545737,-0.398671096,51.39372404
2020-12-28 6:30,29962000,30082000,29900000,30058000,115.549949,-0.079781929,53.15934653
2020-12-28 7:00,30058000,30180000,29987000,30091000,188.7432328,-0.294897283,53.92195836
2020-12-28 7:30,30091000,30103000,30020000,30050000,154.8424246,-0.176062186,52.77237147
2020-12-28 8:00,30046000,30050000,29599000,29912000,348.7333517,-0.459234609,48.98677022
2020-12-28 8:30,29912000,30077000,29815000,29892000,227.8109713,-0.615087941,48.44438568
2020-12-28 9:00,29892000,29917000,29730000,29888000,142.0009569,-0.096934853,48.3291327
2020-12-28 9:30,29916000,29917000,29751000,29757000,137.3472769,-0.534812983,44.58784432
2020-12-28 10:00,29757000,29801000,29618000,29628000,184.4660775,-0.580517432,41.20512101
2020-12-28 10:30,29638000,29738000,29510000,29706000,240.5475825,-0.107606429,43.97293832
2020-12-28 11:00,29701000,29819000,29630000,29711000,144.431148,-0.362185184,44.15442584
2020-12-28 11:30,29706000,29826000,29541000,29802000,138.4236586,-0.080466707,47.48838566
2020-12-28 12:00,29818000,30083000,29650000,30002000,239.5426236,-0.269255061,53.9896841
2020-12-28 12:30,30002000,30198000,30000000,30112000,302.5688633,-0.284787072,57.13318321
2020-12-28 13:00,30112000,30587000,30111000,30458000,568.2818506,-0.421747801,65.18949923
2020-12-28 13:30,30458000,30500000,30076000,30199000,284.8777346,-0.986885246,56.61249022
2020-12-28 14:00,30199000,30302000,30103000,30267000,148.737947,-0.115503927,58.16864913
2020-12-28 14:30,30243000,30345000,30188000,30250000,163.4913623,-0.313066403,57.6123232
2020-12-28 15:00,30250000,30277000,29989000,30060000,217.7469902,-0.716715659,51.66494379
2020-12-28 15:30,30060000,30112000,29829000,29913000,192.7920921,-0.6608661,47.57309063
2020-12-28 16:00,29913000,30092000,29766000,30053000,122.7986616,-0.129602552,51.51181334
2020-12-28 16:30,30045000,30090000,29970000,30002000,69.41970099,-0.292455965,50.03705878
2020-12-28 17:00,30002000,30075000,29971000,30062000,47.35022998,-0.04322527,51.78590913
2020-12-28 17:30,30062000,30200000,30030000,30066000,46.32534622,-0.443708609,51.90676897
2020-12-28 18:00,30066000,30155000,30006000,30070000,20.10318837,-0.281876969,52.03624992
2020-12-28 18:30,30070000,30125000,29899000,30011000,70.14292785,-0.378423237,49.90213529
2020-12-28 19:00,30006000,30137000,30006000,30073000,31.84379651,-0.21236354,52.12417778
2020-12-28 19:30,30073000,30149000,29912000,30001000,50.42038722,-0.49089522,49.38479998
2020-12-28 20:00,30001000,30100000,29900000,29900000,42.3444277,-0.664451827,45.7523497
2020-12-28 20:30,29900000,30011000,29778000,30007000,60.24963953,-0.013328446,49.95224146
2020-12-28 21:00,30007000,30055000,29897000,30055000,41.52059664,0,51.75665758
2020-12-28 21:30,30061000,30068000,29800000,29800000,60.61439408,-0.891313024,42.90636858
2020-12-28 22:00,29801000,29937000,29738000,29850000,118.0829564,-0.290610282,44.89607178
2020-12-28 22:30,29850000,30030000,29700000,29952000,252.1179397,-0.25974026,48.81492356
2020-12-28 23:00,29952000,30198000,29922000,30185000,166.2118213,-0.043049209,56.43642032
2020-12-28 23:30,30188000,30300000,30164000,30249000,135.668383,-0.168316832,58.2742684
2020-12-29 0:00,30219000,30270000,30060000,30145000,218.867816,-0.412950116,54.26776054
2020-12-29 0:30,30145000,30169000,29966000,30021000,213.2866601,-0.49056979,49.86562449
2020-12-29 1:00,30020000,30269000,29849000,30062000,291.0710311,-0.683867984,51.27308851
2020-12-29 1:30,30059000,30079000,29935000,29998000,120.4249865,-0.269290867,48.96238077
2020-12-29 2:00,29998000,30030000,29952000,30001000,95.42093124,-0.096570097,49.07822783
